,amplitude,frequency
74,(1.8534807858812107e-07+1.246650767857736e-07j),-0.0018665530561834454
75,(-1.1513202630977299e-07-1.8178003587239565e-07j),-0.24008337375967745
76,(1.8391784589922538e-07-4.2677518484771486e-08j),-0.0480716771995019
77,(-1.8476955971207595e-07+5.385451161084749e-08j),-0.0518047831685902
78,(-1.6554540112475698e-07-4.715277985901681e-08j),0.0037331059752465957
79,(-1.603846860823331e-07-4.945747063113124e-08j),-0.0037331059684575702
80,(-1.667798818217005e-07-2.0904424239819402e-08j),-0.38995793416744234
81,(-5.587834534546749e-08+1.3051485042108267e-07j),0.038072057371624765
82,(1.1472008541680321e-07+7.10788129177784e-08j),-0.33188663602629515
83,(-1.1147784301510593e-07-1.0101619962527218e-07j),-0.2700822330584359
84,(-1.0289220236616367e-07-6.870212751667107e-08j),-0.32815353004611464
85,(4.146206264370729e-08+1.1427166967601445e-07j),-0.31375394934952316
86,(4.711500257573235e-08-1.211781418169313e-07j),0.04180516334445045
87,(1.1406123032696552e-07+2.465892638696704e-09j),0.36622558776855163
88,(4.758559877818474e-08-1.0252078320876748e-07j),0.31628733252996044
89,(-2.0861154229849452e-10+1.1183453199305125e-07j),-0.03807205737629088
90,(-1.5886219294422393e-08-1.0435431506861287e-07j),-0.3062877374155227
91,(1.0990486646946823e-07-1.08424500183654e-08j),-0.2600826132079761
92,(3.719932498972498e-08+9.046898112577984e-08j),0.2719487859885141
93,(-8.968956439776327e-08-5.524271693773683e-08j),-0.280081852313044
94,(1.5627320624527786e-08+9.907927498935028e-08j),0.3156205021076035
95,(-8.817345980813906e-08+2.6130944596991018e-08j),0.058071297018991594
96,(1.597953907323093e-09-9.956595852477594e-08j),-0.04180516334449132
97,(9.173177961441094e-08+1.9721870789685114e-09j),0.3736917997144472
98,(-3.103227263211381e-08-7.904312303873864e-08j),0.2682156800833606
99,(8.183612793294507e-08-2.3702466567578013e-08j),0.06180440299671247
