,Ax,Qx,Ay,Qy,Azeta,Qzeta
15,(0.005202716218740343-0.0008440083854851502j),0.30039565480054936,(0.0009605960163753472+0.005285963714820714j),0.3487533752709441,(-6.266743941008288e-10+1.214899040977347e-08j),0.0018665583554826632
16,(-0.0031400368506983734-0.00278336172702507j),0.06853984999384842,(-0.0045042277956458595+0.00106792147696684j),-0.03826665947124478,(-7.389298794401504e-09-9.07226471640833e-09j),-0.0584487873927432
17,(-0.002856264952840734-0.002644762469865346j),-0.06853984997319582,(-0.001815819135838007-0.003254314545450957j),-0.3790265666385733,(-6.894018581393689e-09+8.541206850664334e-09j),0.0584487874015792
18,(-0.0032047845695701385+0.0008805588401384952j),0.29030457956704153,(0.00031758741115989116-0.003785214120641108j),0.28231112000577996,(-4.179594758848741e-11+4.966119822062169e-09j),-0.005599600705018063
19,(0.0018800778636674238+0.001534835467548382j),0.048357722980344235,(-0.002621714680137341+0.0019434387282550346j),0.36706898777683367,(4.6571609260463425e-09+6.355268117899142e-10j),-0.3205777801661004
20,(-0.000784947470483667-0.0021793263982356624j),-0.33066884359744547,(0.001685446220829523-0.0024935783670754787j),0.27222005720880726,(4.618608708906952e-09-7.008089256408012e-10j),0.32057778016883154
21,(-0.0003399827475056195+0.0022006083960775785j),0.2722200574161609,(0.003202800418098939-0.0006046838182014571j),0.03826665946140271,(-2.1067007716930746e-09-2.9109564193835695e-09j),-0.028175603956383004
22,(-0.0017941945701127368+0.00023953980571980038j),0.3487533782076841,(0.002281869351866585-0.001804513284797211j),0.37080201874034024,(-1.8463166611075575e-09+2.547861866347164e-09j),0.028175603952436328
23,(-0.0013976298183774375+0.0009195958553547107j),0.3569779172428523,(0.0008584095357146107-0.0028592469460428666j),0.34075987233589194,(-2.733227916649899e-09+9.855183837653983e-10j),-0.0464911985087275
24,(0.0012247011274473917-0.0008570182412590409j),0.36071097551039016,(0.0016082480769695224+0.0019296856434956856j),0.05844878651600888,(-2.521891326190881e-09-9.096567758463535e-10j),0.04649119851007138
25,(0.0005953192450839109+0.0010044859142385202j),-0.04835772298142288,(0.002152103191193714+0.000989786052243725j),0.04835772298889462,(-1.9153778533831544e-09-1.9656494472374305e-09j),-0.02018222051980881
26,(0.00010232495966429469+0.0011093289425819434j),0.2419468657939722,(-0.0007444064885977348-0.0022001884166630227j),-0.3003956528263552,(5.601929495731495e-12+2.485160302071661e-09j),0.005599509511900138
27,(0.0010590079523871195+0.00018587009848173918j),0.377160084574235,(-0.0022139677638335913+0.0004676762910385675j),0.3569779176530982,(-6.838290924656717e-10+2.295798343963267e-09j),-0.36893550293872096
28,(-0.0009598668497687145-0.00012131278576289292j),0.38089308166792335,(0.0015343560225913203+0.001359100703151432j),-0.05844878645936005,(2.3061144212766133e-09-8.264632207570283e-10j),-0.050224258262631286
